16,35,36,61,64,keyword,alls,binary,value
0,1,0,0,0,배짱,1,1.0,1.0
0,0,0,0,1,내세,1,1.0,1.0
0,0,1,0,0,팔다리,1,1.0,1.0
0,0,0,0,1,뼛조각,1,1.0,1.0
0,1,0,0,0,크시,1,1.0,1.0
0,1,0,0,0,위시,1,1.0,1.0
0,0,0,1,0,획일,1,1.0,1.0
0,1,0,0,0,대승,1,1.0,1.0
0,0,1,0,0,티피,1,1.0,1.0
0,0,0,1,0,종말,1,1.0,1.0
0,0,0,0,1,황도,1,1.0,1.0
0,0,0,1,0,출마,1,1.0,1.0
0,0,0,0,1,시나리오,1,1.0,1.0
0,1,0,0,0,한참,1,1.0,1.0
0,0,1,0,0,아성,1,1.0,1.0
0,1,0,0,0,슨,1,1.0,1.0
0,1,0,0,0,유명,1,1.0,1.0
1,0,0,0,0,환수,1,1.0,1.0
0,0,1,0,0,레이,1,1.0,1.0
1,0,0,0,0,최신,1,1.0,1.0
0,1,0,0,0,민초,1,1.0,1.0
0,0,1,0,0,난립,1,1.0,1.0
0,1,0,0,0,보람,1,1.0,1.0
0,1,0,0,0,성동,1,1.0,1.0
1,0,0,0,0,현찰,1,1.0,1.0
0,1,0,0,0,중대,1,1.0,1.0
1,0,0,0,0,호스피스,1,1.0,1.0
0,0,1,0,0,경직,1,1.0,1.0
0,0,1,0,0,원점,1,1.0,1.0
0,0,1,0,0,도태,1,1.0,1.0
1,0,0,0,0,구한,1,1.0,1.0
1,0,0,0,0,지견,1,1.0,1.0
0,0,0,1,0,고수,1,1.0,1.0
1,0,0,0,0,면직,1,1.0,1.0
0,0,0,1,0,꼬박,1,1.0,1.0
0,0,0,1,0,단점,1,1.0,1.0
0,1,0,0,0,전교조,1,1.0,1.0
0,0,0,0,1,남북관계,1,1.0,1.0
0,0,0,0,1,폭주,1,1.0,1.0
0,1,0,0,0,협상,1,1.0,1.0
0,0,0,0,1,집결,1,1.0,1.0
1,0,0,0,0,한수,1,1.0,1.0
0,0,0,0,1,하늘나라,1,1.0,1.0
0,1,0,0,0,민낯,1,1.0,1.0
0,0,0,1,0,뇌물수수,1,1.0,1.0
0,0,1,0,0,정파,1,1.0,1.0
0,1,0,0,0,강국,1,1.0,1.0
1,0,0,0,0,모른체,1,1.0,1.0
0,1,0,0,0,어깨,1,1.0,1.0
0,1,0,0,0,교육법,1,1.0,1.0
1,0,0,0,0,프로토콜,1,1.0,1.0
