16,30,35,36,51,61,62,64,76,keyword,alls,binary,value
0,0,0,0,0,1,0,0,0,박달,1,1.0,1.0
0,0,0,0,0,0,1,0,0,초상권,1,1.0,1.0
0,0,0,0,0,0,0,1,0,일괄,1,1.0,1.0
1,0,0,0,0,0,0,0,0,놀란,1,1.0,1.0
1,0,0,0,0,0,0,0,0,이일,1,1.0,1.0
0,0,0,0,0,1,0,0,0,조국,1,1.0,1.0
0,0,0,0,0,0,0,0,1,환란,1,1.0,1.0
0,0,1,0,0,0,0,0,0,조선소,1,1.0,1.0
0,0,0,0,0,0,0,1,0,누,1,1.0,1.0
1,0,0,0,0,0,0,0,0,전전긍긍,1,1.0,1.0
0,0,1,0,0,0,0,0,0,벌크선,1,1.0,1.0
